"Acceptable PM2.5 AQI & Speciation Mass","88502"
"Carbon monoxide","42101"
"Nitrogen dioxide (NO2)","42602"
"Ozone","44201"
"PM10 Total 0-10um STP","81102"
"PM2.5 - Local Conditions","88101"
"Sulfur dioxide","42401"
